elapsed_s,cpu_user_pct,cpu_system_pct,cpu_total_pct,rss_mb,words_total,speaking_duration_s,avg_wpm,rms_avg,thermal_state,marker
2990.0,0.00,0.00,0.00,30.2,95570,2987.7,334.5,0.016024,0,
3000.0,0.00,0.00,0.00,30.3,96150,2999.2,258.6,0.017842,0,
3010.0,0.00,0.00,0.00,30.3,96637,3007.0,253.4,0.015844,0,
3020.0,0.00,0.00,0.00,30.4,96978,3018.5,286.3,0.018693,0,
3030.0,0.00,0.00,0.00,30.5,97433,3029.9,754.2,0.019455,0,
3040.0,0.00,0.00,0.00,30.5,97751,3037.6,528.0,0.019442,0,
3050.0,0.00,0.00,0.00,30.5,98229,3049.1,780.0,0.016480,0,
3060.0,0.00,0.00,0.00,35.1,98879,3057.1,587.2,0.018694,0,
3070.0,0.00,0.00,0.00,35.8,99359,3068.4,554.9,0.020345,0,
3080.0,0.00,0.00,0.00,35.8,99778,3079.8,388.4,0.021102,0,
3090.0,0.00,0.00,0.00,35.9,100122,3087.5,438.4,0.019522,0,
3100.0,0.00,0.00,0.00,35.9,100312,3099.0,361.2,0.018797,0,
3110.0,0.00,0.00,0.00,36.0,100594,3106.7,252.9,0.025031,0,
3120.0,0.00,0.00,0.00,34.1,101460,3118.2,233.1,0.020426,0,
3130.0,0.00,0.00,0.00,35.9,101623,3129.7,207.6,0.011974,0,
3140.0,0.00,0.00,0.00,35.9,101879,3137.4,145.3,0.013675,0,
3150.0,53.52,8.73,62.25,36.0,103960,3148.9,101.7,0.016921,0,
3160.0,0.00,0.00,0.00,36.2,105299,3157.3,71.2,0.018184,0,
3170.0,0.00,0.00,0.00,37.9,105702,3168.2,462.1,0.019569,0,
3180.0,0.00,0.00,0.00,36.4,106093,3179.6,782.4,0.018538,0,
3190.0,0.00,0.00,0.00,38.0,106347,3187.3,591.9,0.017634,0,
3200.0,0.00,0.00,0.00,36.4,106740,3198.9,540.3,0.017610,0,
3210.0,3.46,0.49,3.95,36.4,106765,3206.5,378.2,0.019864,0,
3220.0,0.00,0.00,0.00,36.3,106824,3214.2,264.7,0.021361,0,
3230.0,0.00,0.00,0.00,36.4,107085,3229.6,563.4,0.017658,0,
3240.0,0.00,0.00,0.00,36.4,107263,3237.2,474.4,0.015031,0,
3250.0,0.00,0.00,0.00,36.5,107667,3248.9,391.5,0.018225,0,
3260.0,30.54,4.57,35.11,36.4,108010,3256.5,274.0,0.016620,0,
3270.0,0.00,0.00,0.00,36.5,108741,3268.0,191.8,0.026986,0,
3280.0,24.31,3.64,27.95,36.6,110163,3279.6,620.3,0.017512,0,
3290.0,2.64,0.53,3.17,36.5,110495,3287.2,479.5,0.014593,0,
